,vid_id,ad_view
168,VID_8360,1417.772
169,VID_14293,969.786
170,VID_7088,9.904
171,VID_11588,2075.036
172,VID_12193,3777.092
173,VID_18944,179.48
174,VID_14220,215.248
175,VID_2589,10.432
176,VID_17644,34.178
177,VID_20263,146.878
178,VID_15204,1428.918
179,VID_6855,735.954
180,VID_19306,243.094
181,VID_20132,3872.76
182,VID_18477,907.118
183,VID_4562,1181.09
184,VID_17001,944.986
185,VID_6858,144.416
186,VID_20250,1707.694
187,VID_22484,6684.252
188,VID_2358,1641.516
189,VID_17132,358.076
190,VID_19635,7550.964
191,VID_20188,2125.528
192,VID_1272,1489.738
193,VID_2390,206.058
194,VID_10914,734.774
195,VID_9647,101.928
196,VID_11219,2956.4
197,VID_13260,827.208
198,VID_21600,2360.512
199,VID_12441,2962.72
200,VID_15261,161.65
201,VID_11540,532.694
202,VID_20101,225.546
203,VID_3909,129.83
204,VID_14409,1083.224
205,VID_10430,6.47
206,VID_8148,9.068
207,VID_9579,551.502
208,VID_12302,80.758
209,VID_7161,1022.972
210,VID_17471,1898.842
211,VID_13296,5.262
212,VID_1935,4153.776
213,VID_23277,2091.07
214,VID_20389,21177.482
215,VID_2988,3517.796
216,VID_5453,17.694
217,VID_6553,4.832
218,VID_18356,1193.21
219,VID_15268,993.716
220,VID_21503,11.558
221,VID_6901,394.37
222,VID_5796,1421.268
223,VID_21475,3064.22
224,VID_19600,3451.51
225,VID_7977,1180.508
226,VID_4704,37.776
227,VID_20858,102.658
228,VID_23644,35.368
229,VID_12962,2004.686
230,VID_4894,13.814
231,VID_4803,11.85
232,VID_8408,3.856
233,VID_12226,741.086
234,VID_1299,1401.144
235,VID_7721,16671.692
236,VID_1919,399.786
237,VID_23316,4035.876
238,VID_17849,8383.684
239,VID_1313,4447.186
240,VID_9117,26.656
241,VID_9152,3688.68
242,VID_15543,7.788
243,VID_11505,188.99
244,VID_647,695.558
245,VID_2236,157.62
246,VID_14118,63.75
247,VID_1225,2101.544
248,VID_11257,626.926
249,VID_13130,7.948
250,VID_12580,1453.364
251,VID_860,11658.786
252,VID_14251,13.396
253,VID_6476,27.298
254,VID_13070,2.852
255,VID_4623,9677.08
256,VID_13599,2301.302
257,VID_11705,1926.37
258,VID_11736,8.488
259,VID_14145,1117.676
260,VID_13264,1340.19
261,VID_10476,208.056
262,VID_22755,3957.41
263,VID_13294,10.842
264,VID_964,874.198
265,VID_23498,1635.026
266,VID_12090,188.512
267,VID_7494,37.754
268,VID_141,88.644
269,VID_242,338.996
270,VID_8088,60.678
271,VID_10154,54.268
272,VID_3878,62.536
273,VID_4799,40.468
274,VID_12287,330.298
275,VID_15607,1312.124
276,VID_9974,1579.864
277,VID_20032,1461.962
278,VID_9920,10.702
279,VID_7959,9836.96
280,VID_21506,200.426
281,VID_15898,2749.368
282,VID_4349,13.98
283,VID_16235,10.606
284,VID_6391,1181.87
285,VID_4940,212.65
286,VID_16185,775.08
287,VID_6988,1030.22
288,VID_877,411.422
289,VID_23610,750.304
290,VID_17702,42.392
291,VID_18664,2844.94
292,VID_9915,1957.118
293,VID_4438,1167.684
294,VID_15812,6.966
295,VID_15966,1661.37
296,VID_2832,14.572
297,VID_20533,191.982
298,VID_12692,228.612
299,VID_11340,1094.102
300,VID_10760,1490.916
301,VID_19631,2219.43
302,VID_7012,10.084
303,VID_7799,386.488
304,VID_3963,9.344
305,VID_501,142.588
306,VID_9202,28.33
307,VID_14268,35131.994
308,VID_21714,10778.304
309,VID_23154,3678.34
310,VID_4429,277.016
311,VID_16062,1076.83
312,VID_6282,108.576
313,VID_13205,1640.556
314,VID_8515,885.454
315,VID_9480,717.768
316,VID_21979,212.382
317,VID_18494,2775.23
318,VID_20589,7.706
319,VID_15916,31.378
320,VID_17023,6.576
321,VID_8425,84.992
322,VID_3586,9.058
323,VID_5788,368.668
324,VID_12137,18.53
325,VID_14347,858.288
326,VID_19044,598.96
327,VID_11039,12754.336
328,VID_3484,44.324
329,VID_15142,27.994
330,VID_3351,12.9
331,VID_5895,1423.164
332,VID_16112,5.892
333,VID_19247,191.87
334,VID_11439,366.594
335,VID_18883,63.248
336,VID_12140,11494.69
337,VID_17446,335.406
338,VID_5115,899.736
339,VID_21486,402.464
340,VID_17120,1303.946
341,VID_3959,10.568
342,VID_15956,212.112
343,VID_15739,9.374
344,VID_2682,15.29
345,VID_14621,198.428
346,VID_9320,185.948
347,VID_12110,244.554
348,VID_11354,1489.266
349,VID_811,412.172
350,VID_9472,234.178
351,VID_4773,900.144
352,VID_12695,1438.274
353,VID_19547,3448.358
354,VID_530,398.098
355,VID_155,1554.894
356,VID_22955,1751.552
357,VID_20307,606.388
358,VID_11612,2426.19
359,VID_15674,38.304
360,VID_13000,245.834
361,VID_1455,73.434
362,VID_23534,1340.896
363,VID_18740,4875.888
364,VID_17988,1473.078
365,VID_21728,53.098
366,VID_10905,2005.43
367,VID_18445,1719.4
368,VID_21983,8.842
369,VID_16023,280.88
370,VID_1444,477.382
371,VID_1814,18.146
372,VID_19094,1677.88
373,VID_19355,790.176
374,VID_20430,3237.184
375,VID_13461,311.032
376,VID_9066,632.176
377,VID_3020,1574.122
378,VID_13577,194.374
379,VID_5062,4.09
380,VID_9293,604.846
381,VID_16663,1968.49
382,VID_20444,3158.404
383,VID_22353,5911.984
384,VID_22384,68.696
385,VID_23036,240.654
386,VID_12705,1431.95
387,VID_11785,5.79
388,VID_22988,3292.328
389,VID_9495,1693.334
390,VID_8909,7.142
391,VID_13459,1110.978
392,VID_22206,9.76
393,VID_12228,185.932
394,VID_2335,1869.438
395,VID_17498,200.872
396,VID_18702,2753.892
397,VID_10850,1375.048
398,VID_12956,961.556
399,VID_6246,30.58
400,VID_9539,272.962
401,VID_17436,35.4
402,VID_8383,32.876
403,VID_4554,6.582
404,VID_18487,1520.186
405,VID_6285,7.468
406,VID_287,680.804
407,VID_5371,10.826
408,VID_10704,1484.066
409,VID_20810,745.142
410,VID_7972,74.63
411,VID_10923,341.086
412,VID_11876,849.094
413,VID_15477,13.592
414,VID_12366,8.646
415,VID_6538,1548.196
416,VID_10092,5.494
417,VID_6826,1217.232
418,VID_22526,141.866
419,VID_10897,2085.558
420,VID_3400,13.234
421,VID_9995,911.908
422,VID_19337,14.274
423,VID_9673,207.928
424,VID_12280,18.324
425,VID_14038,227.614
426,VID_11157,10.45
427,VID_13406,383.324
428,VID_7774,9.966
429,VID_7386,807.192
430,VID_2419,1108.144
431,VID_6334,40.04
432,VID_1778,112.806
433,VID_4907,8.812
434,VID_7122,570.102
435,VID_10445,8.194
436,VID_18113,1439.184
437,VID_6716,192.852
438,VID_5803,989.428
439,VID_6459,35.44
440,VID_14427,1047.55
441,VID_3872,1962.254
442,VID_6774,274.388
443,VID_11609,1512.634
444,VID_21821,3.578
445,VID_14317,640.576
446,VID_4982,48.688
447,VID_5798,291.288
448,VID_4365,542.522
449,VID_6535,8.714
450,VID_7237,553.756
451,VID_10388,66.008
452,VID_17934,68.376
453,VID_838,1488.022
454,VID_5439,1762.032
455,VID_11455,1123.604
456,VID_7473,374.73
457,VID_16677,907.426
458,VID_18433,14.388
459,VID_10243,12984.786
460,VID_23592,1935.814
461,VID_19401,8.576
462,VID_2547,6.084
463,VID_4525,1390.176
464,VID_13804,226.716
465,VID_22266,1455.066
466,VID_7560,2109.89
467,VID_10381,2318.488
468,VID_4977,1102.796
469,VID_14081,46130.3
470,VID_19054,60.182
471,VID_2608,5619.972
472,VID_8639,9729.87
473,VID_4407,6.886
474,VID_9135,50.514
475,VID_9462,540.222
476,VID_10687,3840.184
477,VID_15274,834.8
478,VID_22631,964.144
479,VID_3777,16.482
480,VID_10585,3037.954
481,VID_18024,1647.902
482,VID_10941,1416.578
483,VID_525,34.858
484,VID_17097,1019.842
485,VID_13836,331.898
486,VID_12202,11.71
487,VID_20868,14302.306
488,VID_17084,2214.276
489,VID_23196,2363.28
490,VID_7322,2120.986
491,VID_17922,2939.198
492,VID_5486,18.086
493,VID_15289,5807.962
494,VID_7993,983.05
495,VID_14078,24.78
496,VID_21530,2119.106
497,VID_11469,353.71
498,VID_20959,321.66
499,VID_18159,542.062
500,VID_19624,7205.818
501,VID_19029,4498.93
502,VID_3489,27.948
503,VID_15983,95.132
504,VID_23605,5642.65
505,VID_23757,1220.742
506,VID_7488,1495.28
507,VID_15445,9.716
508,VID_4538,3068.328
509,VID_22661,1245.68
510,VID_5912,5496.242
511,VID_3324,8.752
512,VID_21241,96.96
513,VID_18194,824.914
514,VID_8640,8449.118
515,VID_10657,936.706
516,VID_3622,38.778
517,VID_14909,1999.898
518,VID_5961,4.044
519,VID_117,3820.196
520,VID_4690,18.518
521,VID_10717,1822.022
522,VID_20280,6.986
523,VID_6395,637.634
524,VID_9199,6.218
525,VID_6343,16.296
526,VID_7459,17.614
527,VID_18041,864.904
528,VID_12175,1578.006
529,VID_8174,2396.424
530,VID_15644,7.282
531,VID_3021,5746.61
532,VID_251,47.094
533,VID_20609,9445.448
534,VID_2033,15.314
535,VID_20357,7.324
536,VID_16428,1243.508
537,VID_12297,27.048
538,VID_1214,13376.738
539,VID_19907,10.196
540,VID_4697,2668.848
541,VID_22474,18307.802
542,VID_4002,15.274
543,VID_17351,2142.148
544,VID_937,565.218
545,VID_17501,200.528
546,VID_2312,3.806
547,VID_22996,28.864
548,VID_14413,935.424
549,VID_7938,17.932
550,VID_616,279.844
551,VID_22499,62.354
552,VID_21393,192.678
553,VID_23320,27.576
554,VID_22780,2484.2
555,VID_10862,13891.234
556,VID_21132,43.27
557,VID_1416,2734.232
558,VID_624,1227.384
559,VID_10127,684.808
560,VID_15874,16.078
561,VID_6946,50.062
562,VID_8674,869.228
563,VID_22878,1609.792
564,VID_560,146.312
565,VID_13640,27926.56
566,VID_9765,1056.956
567,VID_22398,4025.07
568,VID_20560,2125.966
569,VID_4068,8.476
570,VID_938,5.278
571,VID_19068,3002.774
572,VID_8889,475.134
573,VID_23347,796.284
574,VID_16952,1652.156
575,VID_6032,550.942
576,VID_5116,2253.11
577,VID_4210,1133.688
578,VID_22022,766.524
579,VID_16770,3236.148
580,VID_18981,9277.132
581,VID_1668,2693.524
582,VID_23726,133.806
583,VID_18550,47.91
584,VID_5518,5.74
585,VID_12958,36496.386
586,VID_16501,1275.738
587,VID_21485,1558.554
588,VID_14475,817.538
589,VID_3865,73.7
590,VID_21642,275.336
591,VID_22934,2781.716
592,VID_14667,1431.734
593,VID_5519,22.956
594,VID_17889,8.09
595,VID_17728,181.13
596,VID_8727,11.666
597,VID_14785,1524.588
598,VID_16387,154.814
599,VID_10703,1080.402
600,VID_7213,8.814
601,VID_14454,11.11
602,VID_13455,1299.38
603,VID_5467,1060.294
604,VID_21139,216.562
605,VID_9033,19.288
606,VID_3863,22.178
607,VID_13990,11.236
608,VID_2641,1013.578
609,VID_15745,8.77
610,VID_5929,452.658
611,VID_769,77.436
612,VID_5499,5.902
613,VID_8609,3798.298
614,VID_3903,14.624
615,VID_19579,27.006
616,VID_10506,1228.146
617,VID_23577,1486.44
618,VID_9042,53.488
619,VID_10606,91.55
620,VID_14849,1454.246
621,VID_10497,1107.002
622,VID_21208,541.37
623,VID_12837,49.124
624,VID_7924,13.302
625,VID_21109,6.906
626,VID_6848,186.15
627,VID_8993,1427.474
628,VID_10584,1556.75
629,VID_19794,35.708
630,VID_15209,2261.818
631,VID_6195,10.914
632,VID_22498,6087.868
633,VID_9814,3075.962
634,VID_18155,8.398
635,VID_20573,10.11
636,VID_4092,5386.43
637,VID_15455,2237.526
638,VID_8989,198.856
639,VID_1852,1371.536
640,VID_17278,768.002
641,VID_12619,10.374
642,VID_22663,5.116
643,VID_15372,12.488
644,VID_13978,324.424
645,VID_17325,34.558
646,VID_19025,2689.86
647,VID_21374,276.18
648,VID_10207,529.786
649,VID_11924,964.962
650,VID_8975,69.232
651,VID_8851,35.022
652,VID_12210,1801.72
653,VID_8178,4.726
654,VID_19252,4943.806
655,VID_5421,210.146
656,VID_6757,407.902
657,VID_8125,9.684
658,VID_14709,1470.23
659,VID_5795,2162.396
660,VID_21888,1500.008
661,VID_14058,14.18
662,VID_8028,1525.222
663,VID_22918,1918.014
664,VID_11731,6.81
665,VID_22841,535.56
666,VID_7453,9.748
667,VID_11870,191.354
668,VID_20484,538.426
669,VID_1971,308.35
670,VID_599,25.346
671,VID_16812,14.454
672,VID_5401,12.362
673,VID_16289,1254.494
674,VID_12150,189.068
675,VID_13299,7.968
676,VID_19015,535.098
677,VID_1604,9.07
678,VID_18013,336.376
679,VID_2240,114.886
680,VID_8114,10.012
681,VID_13586,1122.828
682,VID_2784,5.858
683,VID_1539,5767.388
684,VID_6787,2823.914
685,VID_11544,1195.122
686,VID_5296,79.202
687,VID_5684,198.786
688,VID_7467,13.534
689,VID_5869,5430.09
690,VID_19596,7.432
691,VID_96,2868.77
692,VID_859,14.62
693,VID_13559,268.682
694,VID_20976,24.508
695,VID_18524,1545.848
696,VID_3089,188.354
697,VID_4453,557.75
698,VID_15802,29.574
699,VID_18291,10364.028
700,VID_3914,136.164
701,VID_10582,1642.17
702,VID_11482,365.692
703,VID_615,8.82
704,VID_19069,243.454
705,VID_911,46.866
706,VID_3308,11.3
707,VID_5668,7.504
708,VID_16402,1098.6
709,VID_19375,17.0
710,VID_8556,9341.082
711,VID_19966,380.824
712,VID_17274,507.948
713,VID_407,21.428
714,VID_23383,44.476
715,VID_6105,1605.16
716,VID_2643,44.378
717,VID_18875,419.642
718,VID_13188,1210.468
719,VID_13504,1995.702
720,VID_17900,1599.482
721,VID_6368,9.792
722,VID_19648,1763.708
723,VID_23490,2732.74
724,VID_9098,414.212
725,VID_12973,13372.434
726,VID_15207,910.386
727,VID_17033,46.328
728,VID_21758,330.658
729,VID_21628,49.288
730,VID_3935,1307.174
731,VID_5670,12.446
732,VID_13844,71.578
733,VID_20416,419.958
734,VID_19885,30.356
735,VID_15487,1156.674
736,VID_9890,248.164
737,VID_17721,13.984
738,VID_2585,3509.488
739,VID_19723,221.9
740,VID_22716,7720.316
741,VID_10004,8.348
742,VID_1529,6668.414
743,VID_8126,10.124
744,VID_4224,25.66
745,VID_22704,2428.678
746,VID_10705,2910.082
747,VID_10524,1876.734
748,VID_1133,715.976
749,VID_3404,12.788
750,VID_20344,103.5
751,VID_9397,16.63
752,VID_20601,123.09
753,VID_9482,4700.81
754,VID_6673,63.362
755,VID_3899,75.424
756,VID_7008,53.85
757,VID_2690,574.168
758,VID_7483,9.7
759,VID_1614,18.414
760,VID_241,12.454
761,VID_13499,1469.206
762,VID_11734,7.166
763,VID_18937,59.198
764,VID_11906,346.936
765,VID_11525,9.828
766,VID_4199,2780.776
767,VID_19984,3768.25
768,VID_15743,14.336
769,VID_23097,18650.3
770,VID_16716,7.474
771,VID_6805,267.594
772,VID_6552,220.488
773,VID_269,1795.094
774,VID_13646,991.262
775,VID_10761,1510.374
776,VID_16502,1256.082
777,VID_10352,11.506
778,VID_10226,1250.628
779,VID_23493,1840.188
780,VID_734,4465.894
781,VID_5364,14.754
782,VID_5122,49.682
783,VID_2104,1221.558
784,VID_5143,966.564
785,VID_3850,20.576
786,VID_23633,211.734
787,VID_19158,18.442
788,VID_23597,65.182
789,VID_5716,12.584
790,VID_23516,3836.546
791,VID_12921,145.196
792,VID_17949,382.716
793,VID_8164,9.142
794,VID_2097,615.094
795,VID_10400,5.45
796,VID_998,6.928
797,VID_11447,38.57
798,VID_7866,8.632
799,VID_11664,61.45
800,VID_7094,550.062
801,VID_19536,3665.96
802,VID_13747,1665.494
803,VID_6307,10.934
804,VID_2424,4095.18
805,VID_6363,10.592
806,VID_1524,1300.77
807,VID_20772,16.092
808,VID_23466,5401.896
809,VID_10752,1719.788
810,VID_4918,250.674
811,VID_23046,46.376
812,VID_6694,9.804
813,VID_4646,62.77
814,VID_17016,119.466
815,VID_11145,1783.078
816,VID_12387,1684.386
817,VID_22126,19.308
818,VID_17930,3644.36
819,VID_12268,1329.624
820,VID_5192,13.27
821,VID_16369,3534.542
822,VID_11841,3185.06
823,VID_13926,402.582
824,VID_5622,470.99
825,VID_5346,1224.122
826,VID_10544,568.192
827,VID_6622,4.824
828,VID_17583,12.644
829,VID_13876,958.476
830,VID_1033,857.316
831,VID_10998,7958.834
832,VID_7037,2920.266
833,VID_22495,64.436
834,VID_13170,17.97
835,VID_7480,112.958
836,VID_13753,4088.494
837,VID_13831,291.48
838,VID_17763,8.614
839,VID_2793,727.362
840,VID_20514,5952.652
841,VID_22850,189.082
842,VID_3953,8.908
843,VID_2434,1336.134
844,VID_13670,1109.614
845,VID_12368,13.134
846,VID_19664,6715.132
847,VID_4173,21.662
848,VID_15859,8.666
849,VID_14717,1625.976
850,VID_18425,14.564
851,VID_5232,12.592
852,VID_6288,13.074
853,VID_7433,12.478
854,VID_1003,1061.256
855,VID_13060,10.004
856,VID_15297,1295.1
857,VID_9730,1640.868
858,VID_19022,96.908
859,VID_1885,1172.572
860,VID_7425,12.134
861,VID_20867,73.182
862,VID_2501,59.006
863,VID_19822,23.262
864,VID_10604,1323.644
865,VID_18763,570.98
866,VID_1818,841.956
867,VID_16644,5053.926
868,VID_7528,10.352
869,VID_8166,64.322
870,VID_22357,1644.96
871,VID_3918,44.866
872,VID_10589,1499.558
873,VID_3027,809.96
874,VID_23607,290.236
875,VID_9153,1271.364
876,VID_291,5328.464
877,VID_8213,2872.194
878,VID_9424,263.586
879,VID_19769,240.458
880,VID_22910,5231.4
881,VID_14626,749.086
882,VID_2363,17.442
883,VID_5125,961.246
884,VID_16291,2099.518
885,VID_14392,11.334
886,VID_1036,185.898
887,VID_14153,2108.434
888,VID_13506,65.22
889,VID_6149,11.884
890,VID_2777,588.32
891,VID_19018,588.092
892,VID_8497,29.388
893,VID_21395,18.686
894,VID_7117,2018.3
895,VID_21328,13074.108
896,VID_7710,16224.258
897,VID_17750,15.154
898,VID_1680,3121.286
899,VID_4028,1197.91
900,VID_20481,6.8
901,VID_8880,1054.432
902,VID_21640,1436.86
903,VID_13074,1447.382
904,VID_8763,18.806
905,VID_3983,12.648
906,VID_432,2897.528
907,VID_14174,158.794
908,VID_23234,231.394
909,VID_23704,3325.946
910,VID_5492,2118.902
911,VID_6329,19.868
912,VID_3504,15.96
913,VID_5758,5713.272
914,VID_4794,8.168
915,VID_20788,617.032
916,VID_5213,92.144
917,VID_6785,15.604
918,VID_11456,185.508
919,VID_22729,1630.176
920,VID_9741,1453.626
921,VID_16684,515.452
922,VID_11853,970.03
923,VID_3598,2915.818
924,VID_6772,9.57
925,VID_2469,1148.964
926,VID_2206,29.286
927,VID_6843,274.25
928,VID_10634,44.412
929,VID_8040,368.614
930,VID_12369,7.696
931,VID_2693,12.82
932,VID_11067,2490.826
933,VID_11520,1466.126
934,VID_2821,38.352
935,VID_3038,23.078
936,VID_11250,878.938
937,VID_22710,30.142
938,VID_11733,6.664
939,VID_7363,1557.084
940,VID_23723,2565.018
941,VID_11688,334.158
942,VID_6034,877.49
943,VID_22123,2321.302
944,VID_20388,17271.894
945,VID_6503,345.53
946,VID_15018,394.544
947,VID_22601,7562.392
948,VID_3210,532.052
949,VID_11450,63.526
950,VID_1040,5938.526
951,VID_13938,264.132
952,VID_20462,1882.882
953,VID_22043,13.456
954,VID_23262,3368.132
955,VID_13502,1183.086
956,VID_13855,21953.044
957,VID_1368,16.864
958,VID_9381,12.632
959,VID_12394,9.638
960,VID_19290,3053.194
961,VID_5050,287.628
962,VID_23326,3932.392
963,VID_5262,40.92
964,VID_23088,182.11
965,VID_13259,2906.64
966,VID_13056,1420.504
967,VID_17553,16.46
968,VID_5220,9.328
969,VID_16497,1135.27
970,VID_17882,318.976
971,VID_14613,586.178
972,VID_600,20.622
973,VID_19476,2596.74
974,VID_814,402.95
975,VID_21709,22239.854
976,VID_23117,8851.566
977,VID_22461,2235.282
978,VID_5566,169.688
979,VID_3407,14.99
980,VID_5958,5.908
981,VID_15941,68.736
982,VID_11387,1145.29
983,VID_11741,739.37
984,VID_70,1260.654
985,VID_20781,3345.102
986,VID_11832,1019.024
987,VID_1723,55845.236
988,VID_6240,93.912
989,VID_8963,823.256
990,VID_14121,589.438
991,VID_7960,5510.432
992,VID_14523,81.234
993,VID_20941,322.674
994,VID_23728,2305.032
995,VID_17575,2127.156
996,VID_13353,11.55
997,VID_18877,112.552
998,VID_19283,4022.014
999,VID_19494,11.718
1000,VID_12311,331.278
1001,VID_21019,22999.416
1002,VID_23343,235.25
1003,VID_16495,21941.866
1004,VID_2932,1232.298
1005,VID_21207,9.362
1006,VID_12004,1577.878
1007,VID_11129,3428.296
1008,VID_15892,2248.912
1009,VID_5645,22.816
1010,VID_8615,11702.072
1011,VID_20982,28177.242
1012,VID_12201,1119.286
1013,VID_20427,185.728
1014,VID_17217,1734.676
1015,VID_1642,14.868
1016,VID_11516,32.51
1017,VID_23022,2574.982
1018,VID_7142,982.778
1019,VID_9909,2019.02
1020,VID_9529,528.638
1021,VID_22664,1195.558
1022,VID_435,1987.074
1023,VID_15960,153.61
1024,VID_12952,22884.716
1025,VID_21100,9.458
1026,VID_23229,63.444
1027,VID_10906,223.51
1028,VID_2945,606.422
1029,VID_10393,12.822
1030,VID_11026,23835.952
1031,VID_13865,3548.012
1032,VID_13079,1428.262
1033,VID_20285,12.318
1034,VID_22600,1430.67
1035,VID_15248,846.51
1036,VID_12096,882.186
1037,VID_12609,2826.134
1038,VID_21464,1963.276
1039,VID_2568,6.642
1040,VID_18864,688.304
1041,VID_3347,7.578
1042,VID_15238,14.49
1043,VID_17746,183.322
1044,VID_20055,11.066
1045,VID_7138,1977.09
1046,VID_5665,181.634
1047,VID_8130,24.88
1048,VID_14441,428.702
1049,VID_8693,10.146
1050,VID_12944,4734.756
1051,VID_3446,38.08
1052,VID_2862,386.57
1053,VID_5671,21.578
1054,VID_8484,11064.534
1055,VID_5596,46.238
1056,VID_15925,6.304
1057,VID_18290,3862.156
1058,VID_4102,13.026
1059,VID_18762,1234.942
1060,VID_49,10.146
1061,VID_19899,35.44
1062,VID_6311,12.218
1063,VID_9972,44.934
1064,VID_12965,2400.86
1065,VID_12420,177.596
1066,VID_7547,2257.796
1067,VID_21893,62076.456
1068,VID_21819,1266.858
1069,VID_20945,613.758
1070,VID_3359,8.004
1071,VID_1671,2487.486
1072,VID_7479,52.018
1073,VID_12766,1052.12
1074,VID_8145,10.372
1075,VID_13652,864.808
1076,VID_21627,194.05
1077,VID_472,8.764
1078,VID_16667,196.992
1079,VID_20187,146.02
1080,VID_18033,716.374
1081,VID_1061,43.694
1082,VID_3719,956.68
1083,VID_14470,89.928
1084,VID_430,2693.62
1085,VID_22153,335.336
1086,VID_19285,2322.204
1087,VID_8843,12.52
1088,VID_11084,5129.394
1089,VID_1246,815.43
1090,VID_22180,9.778
1091,VID_3111,14.678
1092,VID_7313,1661.038
1093,VID_23081,630.882
1094,VID_10020,40.582
1095,VID_5656,232.536
1096,VID_15080,1484.488
1097,VID_18949,41.684
1098,VID_10056,987.19
1099,VID_17696,1873.4
1100,VID_23304,9864.676
1101,VID_22199,50.61
1102,VID_4851,701.06
1103,VID_3917,282.232
1104,VID_6859,79.496
1105,VID_21622,7.67
1106,VID_20987,914.262
1107,VID_20279,7.096
1108,VID_12069,52.538
1109,VID_3742,546.128
1110,VID_5130,94.154
1111,VID_3029,1153.188
1112,VID_23673,5008.922
1113,VID_9586,390.844
1114,VID_11637,772.28
1115,VID_15344,331.388
1116,VID_12885,232.132
1117,VID_4096,214.892
1118,VID_4138,336.748
1119,VID_12864,17.25
1120,VID_5340,12.368
1121,VID_11542,2299.226
1122,VID_18608,3419.922
